entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,exit_type,pnl_pts,pnl_dollar,win,std100,avg_range_10,band_width,mean_slope_10,abs_mean_slope_10,mean_slope_20,abs_mean_slope_20,band_width_change,band_width_calc,block_num,block_class
9/22/2025,09:30:25,9/22/2025,09:31:13,short,24823.0,24840.29,STOP,-17.2911,-349.82,0,17.291124,4.65,25.936686,0.3166250000002037,0.3166250000002037,0.3555000000000291,0.3555000000000291,3.831934149646301,25.387498251538005,1.0,LOW
9/22/2025,09:31:33,9/22/2025,09:33:22,short,24834.0,24854.96,STOP,-20.9632,-423.26,0,20.963198,5.7,31.444796,0.5623749999998836,0.5623749999998836,0.41893749999999275,0.41893749999999275,3.3455092882074524,31.180939314932097,1.0,LOW
9/22/2025,09:39:34,9/22/2025,09:44:11,long,24831.5,24848.15,TARGET,16.6514,329.03,1,11.100963,4.55,16.651444,0.37174999999988356,0.37174999999988356,0.4321250000000873,0.4321250000000873,-4.2745326333432345,17.327227080158732,1.0,LOW
9/22/2025,09:44:11,9/22/2025,09:48:03,short,24846.75,24855.25,STOP,-8.497,-173.94,0,8.496974,5.15,12.745461,0.06462499999979628,0.06462499999979628,0.03993749999990541,0.03993749999990541,-0.45030966184504706,12.5689963694685,1.0,LOW
9/22/2025,09:48:28,9/22/2025,09:51:46,short,24857.5,24866.28,STOP,-8.7796,-179.59,0,8.779628,5.275,13.169442,-0.004125000000203727,0.004125000000203727,0.006687500000043656,0.006687500000043656,0.059590558633667357,12.802831162939663,1.0,LOW
9/22/2025,10:11:01,9/22/2025,10:13:06,long,24862.75,24855.03,STOP,-7.7171,-158.34,0,7.717108,4.275,11.575661,0.16900000000023283,0.16900000000023283,0.2625625000000582,0.2625625000000582,-1.2844018161522488,11.664830347174323,1.0,LOW
9/22/2025,10:13:27,9/22/2025,10:17:09,long,24865.0,24876.8,TARGET,11.7982,231.96,1,7.865485,3.975,11.798227,-0.009749999999985447,0.009749999999985447,0.06050000000013824,0.06050000000013824,0.19507166640952356,11.663360918236167,1.0,LOW
9/22/2025,10:17:25,9/22/2025,10:21:30,short,24878.0,24886.1,STOP,-8.1024,-166.05,0,8.102413,4.15,12.15362,-0.042250000000058206,0.042250000000058206,-0.03637500000004366,0.03637500000004366,0.24452553675980937,12.088095635416515,1.0,LOW
9/22/2025,10:22:00,9/22/2025,10:27:30,short,24884.25,24892.62,STOP,-8.3748,-171.5,0,8.374776,3.775,12.562164,0.2178750000002765,0.2178750000002765,0.12143750000013824,0.12143750000013824,0.43768935400861686,12.374009945913944,1.0,LOW
9/22/2025,11:05:08,9/22/2025,11:12:14,long,24916.5,24909.16,STOP,-7.3395,-150.79,0,7.33951,3.35,11.009264,0.19550000000017462,0.19550000000017462,0.2905000000000655,0.2905000000000655,-2.12001501054465,11.552480915831595,1.0,LOW
